timestamp_utc,symbol,entry_price,rsi,res_1h,outcome,outcome_pct,resolved
2026-08-21T07:40:25.979657+00:00,ENA-USDT-SWAP,0.13225,98.14,0.13367,BASARISIZ (direnc kirildi),7.33,True
2026-08-21T07:40:33.016840+00:00,STX-USDT-SWAP,0.1578,93.65,0.1589,BASARISIZ (direnc kirildi),3.74,True
2026-08-21T07:40:40.044467+00:00,BOME-USDT-SWAP,0.0014266,84.94,0.0013299,BASARISIZ (direnc kirildi),1.65,True
2026-08-21T08:32:00.458167+00:00,ENA-USDT-SWAP,0.13419,98.25,0.13633,BASARISIZ (direnc kirildi),5.78,True
2026-08-21T08:32:07.762756+00:00,GRT-USDT-SWAP,0.01586,94.41,0.01589,BASARISIZ (direnc kirildi),2.46,True
2026-08-21T08:32:14.977807+00:00,STX-USDT-SWAP,0.16,94.2,0.1609,BASARISIZ (direnc kirildi),2.31,True
2026-08-21T09:29:52.989284+00:00,MASK-USDT-SWAP,0.4166,87.19,0.4185,BASARISIZ (direnc kirildi),0.79,True
2026-08-21T09:30:00.145740+00:00,ROBO-USDT-SWAP,0.01502,86.9,0.01569,BASARISIZ (direnc kirildi),7.79,True
2026-08-21T09:30:07.463641+00:00,GRT-USDT-SWAP,0.01605,85.93,0.01628,BASARISIZ (momentum geri geldi),1.0,True
2026-08-21T10:23:05.392715+00:00,GRT-USDT-SWAP,0.01629,93.14,0.01637,BASARISIZ (direnc kirildi),1.35,True
2026-08-21T10:23:12.636272+00:00,MASK-USDT-SWAP,0.4282,91.45,0.4289,BASARISIZ (direnc kirildi),0.72,True
2026-08-21T10:23:19.869544+00:00,BIGTIME-USDT-SWAP,0.006005,87.87,0.0061,PENDING,0.0,False
2026-08-21T11:19:53.111965+00:00,STX-USDT-SWAP,0.1653,89.93,0.1662,BASARISIZ (direnc kirildi),1.27,True
2026-08-21T11:20:00.381268+00:00,ROBO-USDT-SWAP,0.0153,89.07,0.01569,BASARISIZ (direnc kirildi),5.82,True
